City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
130,Hobyo,SO,2022-03-29 05:32:26,5.3505,48.5268,83.84,62,80,16.4
131,Richards Bay,ZA,2022-03-29 05:32:26,-28.783,32.0377,75.02,69,0,15.82
132,Castro,BR,2022-03-29 05:32:27,-24.7911,-50.0119,61.84,93,82,7.54
133,Victoria Point,AU,2022-03-29 05:32:27,-27.5833,153.3,75.25,94,90,5.01
134,Lander,US,2022-03-29 05:32:28,42.833,-108.7307,54.41,33,40,6.91
135,Makakilo City,US,2022-03-29 05:32:28,21.3469,-158.0858,75.52,66,20,9.22
136,Avarua,CK,2022-03-29 05:32:28,-21.2078,-159.775,78.85,83,20,11.5
137,Simplicio Mendes,BR,2022-03-29 05:33:29,-7.8539,-41.9103,73.33,86,100,3.11
138,Vestmannaeyjar,IS,2022-03-29 05:33:29,63.4427,-20.2734,37.87,75,100,27.78
139,Vila Franca Do Campo,PT,2022-03-29 05:33:30,37.7167,-25.4333,57.61,88,45,3.91
140,Muhos,FI,2022-03-29 05:33:30,64.808,25.9931,13.78,88,78,7.99
141,Ahipara,NZ,2022-03-29 05:33:31,-35.1667,173.1667,67.35,80,2,11.1
142,Mehamn,NO,2022-03-29 05:33:31,71.0357,27.8492,26.51,73,100,30.31
143,Saint-Philippe,RE,2022-03-29 05:33:31,-21.3585,55.7679,84.22,75,32,5.46
144,San Cristobal,VE,2022-03-29 05:33:32,7.7669,-72.225,69.98,85,90,1.81
145,Vila Velha,BR,2022-03-29 05:33:32,-20.3297,-40.2925,75.15,94,0,2.3
146,Talaya,RU,2022-03-29 05:33:33,61.3833,152.75,9.52,82,100,11.32
147,Portland,US,2022-03-29 05:31:37,45.5234,-122.6762,54.18,83,20,5.75
148,Santa Isabel Do Rio Negro,BR,2022-03-29 05:33:33,-0.4139,-65.0192,72.34,100,100,2.19
149,Elko,US,2022-03-29 05:30:06,41.0002,-115.5012,48.22,48,96,7.0
150,Cabedelo,BR,2022-03-29 05:33:34,-6.9811,-34.8339,77.67,77,100,10.13
151,Berlevag,NO,2022-03-29 05:33:35,70.8578,29.0864,26.55,93,100,28.77
152,Hun,LY,2022-03-29 05:33:35,29.1268,15.9477,58.86,59,28,4.23
153,Ingham,US,2022-03-29 05:33:35,42.6,-84.3833,24.42,69,0,0.0
154,Pisco,PE,2022-03-29 05:33:36,-13.7,-76.2167,68.05,77,0,8.05
155,Saint George,US,2022-03-29 05:30:16,37.1041,-113.5841,63.19,31,100,10.36
156,Palmer,US,2022-03-29 05:33:37,42.1584,-72.3287,19.62,51,20,14.97
157,Sitka,US,2022-03-29 05:33:37,57.0531,-135.33,42.69,75,100,11.5
158,Jega,NG,2022-03-29 05:33:38,12.2175,4.3792,71.26,7,5,10.47
159,Bengkulu,ID,2022-03-29 05:33:38,-3.8004,102.2655,84.63,63,100,9.89
160,Qaanaaq,GL,2022-03-29 05:33:39,77.484,-69.3632,9.52,96,100,0.67
161,Nikolskoye,RU,2022-03-29 05:33:39,59.7035,30.7861,22.87,80,99,6.49
162,Alofi,NU,2022-03-29 05:33:39,-19.0595,-169.9187,76.89,94,100,4.61
163,Hithadhoo,MV,2022-03-29 05:33:40,-0.6,73.0833,81.7,65,8,5.61
164,Ixtapa,MX,2022-03-29 05:31:22,20.7,-105.2,69.22,77,19,1.01
165,Tilichiki,RU,2022-03-29 05:33:40,60.4667,166.1,22.86,80,100,24.16
166,Chuy,UY,2022-03-29 05:33:41,-33.6971,-53.4616,62.35,87,9,8.99
167,Vanavara,RU,2022-03-29 05:33:41,60.34,102.2797,24.67,74,87,8.23
168,Carroll,US,2022-03-29 05:33:42,39.5501,-77.0164,24.78,50,7,8.01
169,Port Augusta,AU,2022-03-29 05:33:42,-32.5,137.7667,79.16,45,29,17.52
170,Meulaboh,ID,2022-03-29 05:33:43,4.1363,96.1285,85.15,64,15,6.22
171,Tezu,IN,2022-03-29 05:33:43,27.9167,96.1667,90.48,27,34,4.36
172,Waipawa,NZ,2022-03-29 05:33:43,-41.4122,175.5153,58.17,98,100,4.63
173,Kahului,US,2022-03-29 05:33:44,20.8947,-156.47,75.85,76,40,9.22
174,Makinsk,KZ,2022-03-29 05:33:44,52.6292,70.4169,32.13,96,100,14.72
175,Dauriya,RU,2022-03-29 05:33:45,49.9333,116.8667,31.5,14,0,15.93
176,Flinders,AU,2022-03-29 05:33:45,-34.5833,150.8552,69.39,93,100,8.81
177,Irbeyskoye,RU,2022-03-29 05:33:47,55.6428,95.4522,32.07,68,19,1.7
178,Maniitsoq,GL,2022-03-29 05:33:47,65.4167,-52.9,19.38,75,16,5.73
179,Idil,TR,2022-03-29 05:33:47,37.3411,41.8895,46.33,57,0,9.22
180,Ferrol,ES,2022-03-29 05:30:36,43.4832,-8.2369,54.12,86,100,1.83
181,Baruun-Urt,MN,2022-03-29 05:34:48,46.6806,113.2792,29.41,24,26,7.34
182,Tecozautla,MX,2022-03-29 05:34:48,20.5333,-99.6333,63.57,49,4,3.91
183,Esperance,AU,2022-03-29 05:34:49,-33.8667,121.9,71.44,68,99,16.98
184,Narsaq,GL,2022-03-29 05:34:49,60.9167,-46.05,41.22,73,7,5.59
185,Tasiilaq,GL,2022-03-29 05:34:50,65.6145,-37.6368,26.76,84,100,15.41
186,Cidreira,BR,2022-03-29 05:34:50,-30.1811,-50.2056,69.82,82,0,15.61
187,Calama,CL,2022-03-29 05:34:51,-22.4667,-68.9333,46.89,34,0,8.05
188,Khani,GE,2022-03-29 05:34:51,41.9563,42.9566,33.37,97,7,5.68
189,Tikapur,NP,2022-03-29 05:34:51,28.5,81.1333,97.07,8,0,8.16
190,Algiers,DZ,2022-03-29 05:34:52,36.7525,3.042,71.42,31,40,14.97
191,Manokwari,ID,2022-03-29 05:34:52,-0.8667,134.0833,84.74,67,96,10.71
192,Isangel,VU,2022-03-29 05:34:53,-19.55,169.2667,81.63,80,76,9.17
193,Prince Rupert,CA,2022-03-29 05:30:40,54.3161,-130.3201,44.29,87,100,3.44
194,Taoudenni,ML,2022-03-29 05:34:53,22.6783,-3.9836,83.21,12,99,9.93
195,Komsomolskiy,UZ,2022-03-29 05:34:54,40.4272,71.7189,50.72,76,75,25.32
196,Auki,SB,2022-03-29 05:34:54,-8.7676,160.7034,80.44,85,100,5.14
197,Atar,MR,2022-03-29 05:34:55,20.5169,-13.0499,67.64,46,84,6.91
198,Katobu,ID,2022-03-29 05:34:55,-4.9408,122.5276,81.84,77,100,3.18
199,Maningrida,AU,2022-03-29 05:34:56,-12.0667,134.2667,90.63,49,79,7.25
200,Naryan-Mar,RU,2022-03-29 05:34:56,67.6713,53.087,14.14,92,100,7.92
201,Farah,AF,2022-03-29 05:34:57,32.5,62.5,65.21,16,0,11.7
202,Medicine Hat,CA,2022-03-29 05:30:59,50.0501,-110.6683,34.79,79,100,20.71
203,Laguna,US,2022-03-29 05:34:37,38.421,-121.4238,53.06,93,0,3.44
204,Newport,GB,2022-03-29 05:34:58,51.5877,-2.9984,52.52,77,100,8.88
205,Hofn,IS,2022-03-29 05:34:58,64.2539,-15.2082,27.68,65,100,10.38
