City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
292,Yaviza,PA,8.1537,-77.6931,73.58,99,100,0.51,overcast clouds
293,Beroroha,MG,-21.6667,45.1667,76.57,58,0,6.04,clear sky
294,Pathein,MM,16.7833,94.7333,97.57,27,53,3.76,broken clouds
295,Katsuura,JP,35.1333,140.3,49.23,58,100,9.37,overcast clouds
296,Willmar,US,45.1219,-95.0433,33.82,95,75,0.0,broken clouds
297,Poum,NC,-20.2333,164.0167,82.13,83,95,16.13,overcast clouds
298,Turuvekere,IN,13.1642,76.6667,87.31,37,21,3.87,few clouds
299,Seymchan,RU,62.8833,152.4333,11.23,67,95,9.4,overcast clouds
300,Vardo,NO,70.3705,31.1107,26.69,73,100,19.13,overcast clouds
301,Lompoc,US,34.6391,-120.4579,55.13,81,100,8.01,overcast clouds
302,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,54.59,68,18,4.34,few clouds
303,Barcelos,PT,41.5388,-8.6151,43.84,72,1,6.04,clear sky
304,Windhoek,NA,-22.5594,17.0832,62.11,80,1,2.37,clear sky
305,Jiuquan,CN,39.7432,98.5174,57.99,11,0,11.77,clear sky
306,Boa Vista,BR,2.8197,-60.6733,78.78,65,0,4.61,clear sky
307,Asfi,MA,32.2994,-9.2372,54.39,83,72,16.51,broken clouds
308,Kango,GA,0.1943,10.0951,73.44,99,100,3.76,light rain
309,Kholmogory,RU,64.2229,41.656,17.76,93,92,3.91,overcast clouds
310,Jardim,BR,-21.4803,-56.1381,63.12,86,98,1.32,overcast clouds
311,Elizabeth City,US,36.2946,-76.2511,52.02,53,0,8.05,clear sky
312,Birmitrapur,IN,22.4,84.7667,103.87,9,7,0.56,clear sky
313,Simoes,BR,-7.5989,-40.8178,69.58,87,99,4.65,overcast clouds
314,Klaksvik,FO,62.2266,-6.589,34.72,66,99,13.65,overcast clouds
315,Coos Bay,US,43.3665,-124.2179,48.99,95,100,0.0,overcast clouds
316,Auki,SB,-8.7676,160.7034,78.62,87,75,7.27,heavy intensity rain
317,Hambantota,LK,6.1241,81.1185,83.93,68,37,6.4,scattered clouds
318,Vilyuysk,RU,63.7553,121.6247,23.99,86,100,7.54,overcast clouds
319,Lakhnadon,IN,22.6,79.6,96.58,9,0,4.41,clear sky
320,Daru,PG,-9.0763,143.2092,82.71,74,83,3.22,broken clouds
321,Nabire,ID,-3.3667,135.4833,91.06,52,88,7.27,overcast clouds
322,Marsa Matruh,EG,31.3525,27.2453,63.32,71,100,13.78,overcast clouds
323,La Rioja,ES,42.25,-2.5,28.18,98,98,7.54,snow
324,Tura,IN,25.5198,90.2201,84.96,55,36,4.45,scattered clouds
325,El Alto,PE,-4.2714,-81.2147,72.1,78,92,9.15,overcast clouds
326,Mareeba,AU,-17.0,145.4333,81.32,63,60,6.62,broken clouds
327,Provideniya,RU,64.3833,-173.3,18.86,89,76,10.04,broken clouds
328,Marienburg,PL,54.0359,19.0266,37.11,63,100,17.4,overcast clouds
329,Te Anau,NZ,-45.4167,167.7167,68.56,49,1,2.51,clear sky
330,Beyneu,KZ,45.3167,55.2,58.87,42,87,10.18,overcast clouds
331,Ola,RU,59.5833,151.2833,26.15,58,100,6.76,overcast clouds
332,Muli,MV,2.9167,73.5667,83.17,69,25,5.55,scattered clouds
333,Belyy Yar,RU,53.6039,91.3903,57.85,25,0,22.37,clear sky
334,Areia Branca,BR,-4.9561,-37.1369,77.58,86,95,10.71,moderate rain
335,Makinsk,KZ,52.6292,70.4169,34.56,97,88,9.6,overcast clouds
336,Vestmannaeyjar,IS,63.4427,-20.2734,43.68,80,100,6.17,overcast clouds
337,Key West,US,24.5557,-81.7826,80.01,89,75,10.36,broken clouds
338,Itarema,BR,-2.9248,-39.9167,75.04,92,93,5.93,overcast clouds
339,Mukdahan,TH,16.5833,104.5,65.59,66,100,17.69,moderate rain
340,Havelock,US,34.8791,-76.9013,57.15,50,19,3.0,few clouds
341,Ellensburg,US,46.9965,-120.5479,51.69,67,0,13.8,clear sky
342,Tacna,PE,-18.0056,-70.2483,56.3,91,16,0.76,few clouds
343,Matara,LK,5.9485,80.5353,83.61,71,30,3.51,scattered clouds
344,Aklavik,CA,68.2191,-135.0107,-19.82,98,58,5.03,broken clouds
345,Pundaguitan,PH,6.3711,126.1689,81.5,76,91,2.68,very heavy rain
346,Villa Carlos Paz,AR,-31.4241,-64.4978,48.81,48,0,1.99,clear sky
